Name,DisplayName,GivenName,Surname,Description,Department,GroupList
SQL_Admin, "SQL Server Administrator", SQL, Administrator, "SQL Server Administration Account","DEFAULT_SQL","Database Admins:FAS Admins"
HBSS_Admin, "HBSS Server Administrator", HBSS, Administrator, "HBSS Server Administration Account","DEFAULT_HBSS","Domain Admins"
SQL_Service, "SQL Server Service Account", SQL, Service, "SQL Server Service Account","DEFAULT_SQL_Service",""
wave_service, "Wave Server Service Account", WAVE, Service, "Wave Server Service Account","DEFAULT_Wave_Service",""
EXCH_Admin, "Exchange Administrator", "Exchange", "Administrator", "Exchange Administration Account","DEFAULT_EXCHANGE","Enterprise Admins:Domain Admins:Schema Admins:FAS Admins:DnsAdmins"
SNAP_Admin, "Snap Manager Administrator", "Snap", "Manager", "Snap Manager Administration Account","DEFAULT_SNAP","FAS Admins:Database Admins"
SP_Admin, "SharePoint Administrator", SP, Administrator, "SharePoint Administration Account","DEFAULT_SP_ADMIN","DnsAdmins"
SP_Farm, "SharePoint Farm Service", SP, Farm, "SharePoint Farm Service Account","DEFAULT_SP_FARM",""
SP_Service, "SharePoint Service", SP, Service, "SharePoint Service Account","DEFAULT_SP_SERVICE",""
SP_Portal, "SharePoint Portal", SP, Portal, "SharePoint Portal Account","DEFAULT_SP_PORTAL",""
SP_Search, "SharePoint Search", SP, Search, "SharePoint Search Service Account","DEFAULT_SP_SEARCH",""
SP_Crawl, "SharePoint Crawl", SP, Crawl, "SharePoint Content Crawl Account","DEFAULT_SP_CRAWL",""
OM_MSAA, "Ops Mgr Management Server Action Account", "Ops Mgr", "Mgt Server Action", "Operations Manager Server Action Account","DEFAULT_MSAA","OpsMgrAdmin:Domain Admins"
OM_AAA, "Ops Mgr Agent Action Account", "Ops Mgr", "Agent", "Operations Manager Agent Action Account","DEFAULT_AAA",""
OM_GWAA, "Ops Mgr Gateway Action Account", "Ops Mgr", "Gateway", "Operations Manager Gateway Action Account","DEFAULT_GWAA",""
OM_DWWA, "Ops Mgr Data Warehouse Write Account", "Ops Mgr", "Data Warehouse", "Operations Manager Data Warehouse Write Account","DEFAULT_DWWA",""
OM_DRA, "Ops Mgr Data Reader Account", "Ops Mgr", "Data Reader", "Operations Manager Data Reader Account","DEFAULT_DRA",""
OM_SDK, "Ops Mgr SDK and Configuration Account", "Ops Mgr", "SDK and Config", "Operations Manager Software Development Kit and Configuration Service Account","DEFAULT_SDK","OpsMgrAdmin:Domain Admins"
AdminDDS, "DDS Administrators Account", "DDS", "Admin", "DDS Administration Account","DEFAULT_DDS","DDSAdmin:DDSPublisher:DDSSubscriber:DDSSecret"
WSUS_Admin,"WSUS Administrators Account", "WSUS", "Admin", "WSUS Administration Account","DEFAULT_WSUS","Domain Admins"
XMPP_Admin, "XMPP Administrator", XMPP, Administrator, "XMPP Administrator","DEFAULT_XMPP_ADMIN","XMPP Users"
SCCM_Admin, "SCCM Admin Account", SCCM, Administrator, "SCCM Administrator Account", "DEFAULT_SCCM_ADMIN","Domain Admins:Database Admins"
SCCM_NAA, "SCCM Network Account", SCCM, Network, "SCCM Network Account", "DEFAULT_SCCM_NETWORK","Domain Admins:Database Admins"
SCCM_Service, "SCCM Service Account", SCCM, Service, "SCCM Service Account", "DEFAULT_SCCM_SERVICE","Domain Admins:Database Admins"
CsDDS, "Cs DDS Administrator Account", "CsDDS", "Admin", "CsDDS Administration Account", "DEFAULT_CsDDS","DDSAdmin"
AggrDDS, "Aggr DDS Administrator Account", "AggrDDS", "Admin", "AggrDDS Administration Account", "DEFAULT_AggrDDS","DDSAdmin"
TS3Admin, "TS3 Administrator Account", "TS3Admin", "Admin", "TS3 Administration Account", "DEFAULT_TS3Admin",""
Databridge_DDS, "Databridge DDS Service Account", "Databridge", DDS, "Databridge DDS Service Account","DEFAULT_Databridge_DDS","DDSPublisher:DDSSubscriber"
SCOM_Admin, "SCOM Adminstrator Account", "SCOM Admin", "Administrator", "SCOM Adminstrator Account", SCOM,"OpsMgrAdmin:Database Admins:Domain Admins"
SCOM_NAA, "SCOM Service Account", "SCOM NAA", "User", "SCOM Service Account", SCOM
SCOM_ESM, "SCOM Service Account", "SCOM ESM", "User", "SCOM Service Account", SCOM
FS_Admin, "FileShare Service Account", "FS Admin", "User", "FileShare Service Account", FileShare, FS_Admins
{CurrentUser},"","","","","","Database Admins"
