GroupName,GroupScope,DisplayName,Description
"C2RUPDATER", "Global", "C2RUPDATER", "C2R Update Group"
"C2RQUERIER", "Global", "C2RQUERIER", "C2R Query Group"
"Database Admins","Global","Database Admins","SQL Server Database Administrators Group"
"DDSAdmin","Global","DDSAdmins","DDS Administrators Group"
"DDSPublisher","Global","DDSPublisher","DDS Publishers Group"
"DDSSecret","Global","DDSSecret","DDS Secret Group"
"DDSSubscriber","Global","DDSSubscriber","DDS Subscribers Group"
"FAS Admins","Global","FAS Admins","FAS Administrators Group"
"OpsMgrAdmin","Global","OpsMgrAdmin","System Center Operations Manager Adminsitrators Group"
"XMPP Users","Global","XMPP Users","XMPP Users Group"
"FS_Admins","Global","FS Admins","FileShare Administrators Group"
"SCCMAdmins","Global","SCCM Admins","Admins for SCCM"
"SCCMSiteServersGroup","Global","SCCM Site Servers","Site Server Groups"
