GroupName,GroupScope,DisplayName,Description
C2RSYNC, "Global", "C2RSYNC", "C2RSYNC Group"
CMPUSERS, "Global", "CMPUSERS", "CMPUSERS Group"
TOUSER, "Global", "TOUSER", "TOUSER Group"
TOADMIN, "Global", "TOADMIN", "TOADMIN Group"
TOACTIVATOR, "Global", "TOACTIVATOR", "TOACTIVATOR Group"
TOAPPROVER, "Global", "TOAPPROVER", "TOAPPROVER Group"
RCAMADMIN, "Global", "RCAMADMIN", "RCAMADMIN Group"
RCAMNOCUSER, "Global", "RCAMNOCUSER", "RCAMNOC Group"
RCAMUSER, "Global", "RCAMUSER", "RCAMUSER Group"
C2IUCOREABCS, "Global", "C2IUCOREABCS", "C2IUCOREABCS Group"
GENCQUERIER, "Global", "GENCQUERIER", "GENCQUERIER Group"
