Name,DisplayName,GivenName,Surname,Description,Department,GroupList
{SITENAMESHORT}.apex,"DCGS-A {SITENAME} APEX", "DCGS-A {SITENAME}", APEX, "DCGS-A {SITENAME} APEX Account","DEFAULT_DCGS_SERVICEUSERS","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.cas,"DCGS-A {SITENAME} CAS", "DCGS-A {SITENAME}", CAS, "DCGS-A {SITENAME} CAS Account","DEFAULT_DCGS_CAS","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.datamover,"DCGS-A {SITENAME} DataMover", "DCGS-A {SITENAME}", DataMover, "DCGS-A {SITENAME} DataMover Account","DEFAULT_DCGS_DATAMOVER","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.dib,"DCGS-A {SITENAME} DIB", "DCGS-A {SITENAME}", DIB, "DCGS-A {SITENAME} DIB Account","DEFAULT_DCGS_DIB","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.fef,"DCGS-A {SITENAME} FEF", "DCGS-A {SITENAME}", FEF, "DCGS-A {SITENAME} FEF Account","DEFAULT_DCGS_FEF","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.geodiscover,"DCGS-A {SITENAME} Geodiscover", "DCGS-A {SITENAME}", Geodiscover, "DCGS-A {SITENAME} Geodiscover Account","DEFAULT_DCGS_GEODISCOVER","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.iop,"DCGS-A {SITENAME} IOP", "DCGS-A {SITENAME}", IOP, "DCGS-A {SITENAME} IOP Account","DEFAULT_DCGS_IOP","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.ist,"DCGS-A {SITENAME} IST", "DCGS-A {SITENAME}", IST, "DCGS-A {SITENAME} IST Account","DEFAULT_DCGS_IST","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.jericho,"DCGS-A {SITENAME} Jericho", "DCGS-A {SITENAME}", Jericho, "DCGS-A {SITENAME} Jericho Account","DEFAULT_DCGS_JERICHO","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.rest,"DCGS-A {SITENAME} REST", "DCGS-A {SITENAME}", REST, "DCGS-A {SITENAME} REST Account","DEFAULT_DCGS_REST","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.wwf,"DCGS-A {SITENAME} WWF", "DCGS-A {SITENAME}", WWF, "DCGS-A {SITENAME} WWF Account","DEFAULT_DCGS_WWF","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.xoi,"DCGS-A {SITENAME} XOI", "DCGS-A {SITENAME}", XOI, "DCGS-A {SITENAME} XOI Account","DEFAULT_DCGS_XOI","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.dguser,"DCGS-A {SITENAME} DGUSER", "DCGS-A {SITENAME}", DGUSER, "DCGS-A {SITENAME} DGUSER Account","DEFAULT_DCGS_DGUSER","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.dgadmin,"DCGS-A {SITENAME} DGAMIN", "DCGS-A {SITENAME}", DGAMIN, "DCGS-A {SITENAME} DGAMIN Account","DEFAULT_DCGS_DGAMIN","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.agssom,"DCGS-A {SITENAME} AGSSOM", "DCGS-A {SITENAME}", AGSSOM, "DCGS-A {SITENAME} AGSSOM Account","DEFAULT_DCGS_AGSSOM","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.agssoc,"DCGS-A {SITENAME} AGSSOC", "DCGS-A {SITENAME}", AGSSOC, "DCGS-A {SITENAME} AGSSOC Account","DEFAULT_DCGS_AGSSOC","DCGS-A {SITENAME} Service Users"
{SITENAMESHORT}.agsws,"DCGS-A {SITENAME} AGSWS", "DCGS-A {SITENAME}", AGSWS, "DCGS-A {SITENAME} AGSWS Account","DEFAULT_DCGS_AGSWS","DCGS-A {SITENAME} Service Users"
